GEOID,NAME.x,estimate_2010,pop_2010,NAME.y,estimate_2019,pop_2019,pop_1990,estimate_1990,dif_10_19,dif_90_19,change_perc_10_19,change_perc_90_19,share_2010,share_2019,share_1990,share_dif_10_19,share_dif_90_19
06047,"Merced County, California",9781,250699,"Merced County, California",8645,271382,178403,8523,-1136,122,-0.11614354360494837,0.014314208611991083,0.039014914299618265,0.03185546572727742,0.04777386030503971,-0.007159448572340847,-0.015918394577762292
06049,"Modoc County, California",96,9605,"Modoc County, California",136,8907,9678,78,40,58,0.4166666666666667,0.7435897435897436,0.009994794377928162,0.01526888963736387,0.008059516429014259,0.0052740952594357085,0.007209373208349612
06051,"Mono County, California",118,13905,"Mono County, California",111,14310,9956,43,-7,68,-0.059322033898305086,1.5813953488372092,0.008486156058971593,0.007756813417190775,0.004319003615910004,-7.293426417808177e-4,0.0034378098012807718
06053,"Monterey County, California",13091,407435,"Monterey County, California",11367,433410,355660,22849,-1724,-11482,-0.13169352990604233,-0.5025165215107882,0.0321302784493232,0.026226898317989893,0.06424394084237756,-0.0059033801313333086,-0.03801704252438766
06055,"Napa County, California",2943,134051,"Napa County, California",2883,139623,110765,1204,-60,1679,-0.020387359836901122,1.3945182724252492,0.021954330814391538,0.02064846049719602,0.01086985961269354,-0.001305870317195517,0.00977860088450248
06057,"Nevada County, California",432,98186,"Nevada County, California",570,99244,78510,180,138,390,0.3194444444444444,2.1666666666666665,0.00439981260057442,0.005743420257144008,0.0022927015666794038,0.001343607656569588,0.0034507186904646045
06059,"Orange County, California",48361,2965525,"Orange County, California",55591,3168044,2410556,42681,7230,12910,0.14950063067347658,0.3024765117968183,0.016307736404178014,0.017547420427241542,0.017705873665660538,0.001239684023063528,-1.5845323841899572e-4
06061,"Placer County, California",4502,336477,"Placer County, California",6626,385512,172796,1033,2124,5593,0.4717903154153709,5.41432720232333,0.013379814965064477,0.01718753242441221,0.005978147642306535,0.003807717459347732,0.011209384782105675
06063,"Plumas County, California",225,20392,"Plumas County, California",166,18660,19739,152,-59,14,-0.26222222222222225,0.09210526315789473,0.011033738721067086,0.008896034297963559,0.007700491412938852,-0.002137704423103527,0.0011955428850247071
06065,"Riverside County, California",131258,2109464,"Riverside County, California",156836,2411439,1170413,63591,25578,93245,0.19486812232397263,1.4663238508593983,0.06222338944869408,0.06503834432469575,0.05433210328320003,0.0028149548760016754,0.010706241041495722
06067,"Sacramento County, California",142676,1395144,"Sacramento County, California",149891,1524553,1041219,97129,7215,52762,0.05056912164624744,0.5432157234193701,0.10226614600356666,0.09831799878390585,0.09328392970162858,-0.003948147219660816,0.0050340690822772705
06069,"San Benito County, California",665,54492,"San Benito County, California",491,60376,36697,204,-174,287,-0.26165413533834586,1.4068627450980393,0.012203626220362623,0.008132370478335763,0.0055590375235032834,-0.004071255742026859,0.00257333295483248
06071,"San Bernardino County, California",178597,2005287,"San Bernardino County, California",179292,2149031,1418380,114934,695,64358,0.0038914427453988587,0.559956148746237,0.0890630617961419,0.08342922926658573,0.08103188144220871,-0.005633832529556168,0.002397347824377019
06073,"San Diego County, California",152313,3022468,"San Diego County, California",166750,3316073,2498016,159306,14437,7444,0.09478508072193444,0.04672768131771559,0.05039358563928551,0.0502853827403679,0.06377301026094308,-1.082028989176087e-4,-0.013487627520575175
06075,"San Francisco County, California",49071,789172,"San Francisco County, California",45556,874961,723959,79039,-3515,-33483,-0.07163090216217317,-0.4236263110616278,0.0621803611886889,0.05206632067029273,0.10917607212563142,-0.010114040518396171,-0.05710975145533869
06077,"San Joaquin County, California",49261,673613,"San Joaquin County, California",51931,742603,480628,27094,2670,24837,0.054201092141856644,0.9166974237838635,0.07312952689452253,0.0699310398692168,0.05637207986218031,-0.0031984870253057296,0.013558960007036484
06079,"San Luis Obispo County, California",5666,265577,"San Luis Obispo County, California",5319,282165,217162,5727,-347,-408,-0.06124249911754324,-0.07124148768989,0.021334678831374704,0.018850672478868746,0.02637201720374651,-0.002484006352505959,-0.007521344724877765
06081,"San Mateo County, California",20503,704327,"San Mateo County, California",17784,767423,649623,35283,-2719,-17499,-0.13261473930644296,-0.49596122778675283,0.02911005825419159,0.023173660419351517,0.05431304002475282,-0.005936397834840072,-0.0311393796054013
06083,"Santa Barbara County, California",7976,416051,"Santa Barbara County, California",8984,444829,369608,10402,1008,-1418,0.12637913741223672,-0.1363199384733705,0.01917072666572127,0.020196524956781144,0.02814333023094738,0.0010257982910598755,-0.007946805274166236
06085,"Santa Clara County, California",44431,1739396,"Santa Clara County, California",47992,1927470,1497577,56211,3561,-8219,0.08014674439017803,-0.1462169326288449,0.025543924442737596,0.02489896081391669,0.03753463094051258,-6.449636288209069e-4,-0.012635670126595888
06087,"Santa Cruz County, California",2424,256901,"Santa Cruz County, California",2904,273962,229734,2632,480,272,0.19801980198019803,0.1033434650455927,0.00943554131747249,0.01060001022039553,0.011456728216110806,0.0011644689029230403,-8.567179957152758e-4
06089,"Shasta County, California",1470,176906,"Shasta County, California",2088,179212,147036,1081,618,1007,0.4204081632653061,0.9315448658649399,0.008309497699343154,0.011651005513023682,0.0073519410212464975,0.003341507813680528,0.004299064491777184
06091,"Sierra County, California",37,3366,"Sierra County, California",2,3040,3318,6,-35,-4,-0.9459459459459459,-0.6666666666666666,0.010992275698158051,6.578947368421052e-4,0.0018083182640144665,-0.010334380961315946,-0.0011504235271723611
06093,"Siskiyou County, California",577,44690,"Siskiyou County, California",695,43468,43531,691,118,4,0.2045060658578856,0.005788712011577424,0.012911165808905795,0.01598877335051072,0.015873745147136523,0.0030776075416049237,1.1502820337419561e-4
06095,"Solano County, California",60784,410042,"Solano County, California",61526,441829,340421,45839,742,15687,0.012207159778889181,0.34221950740635704,0.14823847313202063,0.13925296890878597,0.13465385507944574,-0.008985504223234658,0.004599113829340223
06097,"Sonoma County, California",6997,474047,"Sonoma County, California",8269,499772,388222,5547,1272,2722,0.1817921966557096,0.4907157021813593,0.014760139817359881,0.016545544768414397,0.014288216535899562,0.0017854049510545155,0.002257328232514835
06099,"Stanislaus County, California",14241,509682,"Stanislaus County, California",16547,543194,370522,6450,2306,10097,0.16192683098097044,1.5654263565891473,0.02794095141676575,0.030462413060527178,0.017407873216705082,0.0025214616437614287,0.013054539843822096
06101,"Sutter County, California",1505,93420,"Sutter County, California",1827,96109,64415,1041,322,786,0.21395348837209302,0.7550432276657061,0.016110040676514666,0.0190096661082729,0.016160832104323525,0.0028996254317582328,0.0028488340039493736
06103,"Tehama County, California",374,62575,"Tehama County, California",530,63912,49625,256,156,274,0.41711229946524064,1.0703125,0.005976827806632041,0.008292652397045939,0.005158690176322418,0.0023158245904138976,0.0031339622207235207
06105,"Trinity County, California",54,13701,"Trinity County, California",127,12700,13063,53,73,74,1.3518518518518519,1.3962264150943395,0.003941318151959711,0.01,0.004057260966087423,0.006058681848040289,0.0059427390339125774
06107,"Tulare County, California",6294,429404,"Tulare County, California",7201,461898,311921,4618,907,2583,0.14410549729901492,0.5593330446080554,0.014657525314156365,0.015590022039497898,0.01480503076099397,9.32496725341533e-4,7.849912785039288e-4
06109,"Tuolumne County, California",1275,56074,"Tuolumne County, California",984,54045,48456,1551,-291,-567,-0.22823529411764706,-0.3655705996131528,0.022737810750080252,0.018207049680821537,0.03200842000990589,-0.0045307610692587146,-0.013801370329084354
06111,"Ventura County, California",14532,809080,"Ventura County, California",15594,847263,669016,15629,1062,-35,0.07308009909165979,-0.0022394267067630687,0.017961141049092796,0.018405146926043035,0.0233611752185299,4.440058769502389e-4,-0.004956028292486866
06113,"Yolo County, California",4610,196418,"Yolo County, California",5847,217352,141092,3172,1237,2675,0.2683297180043384,0.8433165195460277,0.023470354040872016,0.026901063712319186,0.02248178493465257,0.0034307096714471692,0.004419278777666617
06115,"Yuba County, California",1773,71160,"Yuba County, California",2621,76360,58228,2437,848,184,0.47828539199097575,0.07550266721378744,0.024915682967959527,0.034324253535882664,0.0418527169059559,0.009408570567923137,-0.007528463370073235
06001,"Alameda County, California",186492,1477980,"Alameda County, California",175751,1656754,1279182,229249,-10741,-53498,-0.05759496385903953,-0.2333619775876885,0.1261803272033451,0.10608153051086643,0.1792153110347081,-0.020098796692478674,-0.07313378052384169
06003,"Alpine County, California",0,1176,"Alpine County, California",9,1039,1113,6,9,3,NA,0.5,0,0.008662175168431183,0.005390835579514825,0.008662175168431183,0.0032713395889163582
06005,"Amador County, California",714,38327,"Amador County, California",904,38429,30039,1682,190,-778,0.2661064425770308,-0.4625445897740785,0.018629164818535236,0.023523901220432485,0.055993874629648124,0.004894736401897248,-0.03246997340921564
06007,"Butte County, California",3220,218635,"Butte County, California",3461,225817,182120,2361,241,1100,0.0748447204968944,0.46590427784836935,0.014727742584673085,0.015326569744527648,0.01296397979354272,5.988271598545633e-4,0.002362589950984928
06009,"Calaveras County, California",467,45994,"Calaveras County, California",315,45514,31998,184,-152,131,-0.32548179871520344,0.7119565217391305,0.01015349828238466,0.006920947400799754,0.005750359397462342,-0.0032325508815849056,0.0011705880033374121
06011,"Colusa County, California",196,21165,"Colusa County, California",327,21454,16275,96,131,231,0.6683673469387755,2.40625,0.009260571698558942,0.015241912929989745,0.005898617511520737,0.005981341231430803,0.009343295418469007
06013,"Contra Costa County, California",92810,1024809,"Contra Costa County, California",99642,1142251,803732,74577,6832,25065,0.07361275724598643,0.33609557906593185,0.09056321714582913,0.08723301621097289,0.09278839215061736,-0.0033302009348562395,-0.005555375939644475
06015,"Del Norte County, California",991,28471,"Del Norte County, California",940,27495,23460,858,-51,82,-0.05146316851664985,0.09557109557109557,0.03480734782761406,0.03418803418803419,0.03657289002557545,-6.193136395798715e-4,-0.002384855837541257
06017,"El Dorado County, California",1140,179053,"El Dorado County, California",1516,188563,125995,606,376,910,0.3298245614035088,1.5016501650165017,0.006366829933036587,0.008039753292003203,0.004809714671217112,0.0016729233589666158,0.003230038620786091
06019,"Fresno County, California",45704,908830,"Fresno County, California",46782,984521,667490,33423,1078,13359,0.02358655697531945,0.39969482093169373,0.05028883289504087,0.047517523750128236,0.05007266026457325,-0.002771309144912637,-0.002555136514445014
06021,"Glenn County, California",197,27935,"Glenn County, California",230,27976,24798,137,33,93,0.16751269035532995,0.6788321167883211,0.007052085197780562,0.00822133257077495,0.00552463908379708,0.001169247372994387,0.0026966934869778695
06023,"Humboldt County, California",1477,133058,"Humboldt County, California",1506,135940,119118,960,29,546,0.01963439404197698,0.56875,0.01110042237219859,0.011078416948653818,0.008059235380043318,-2.200542354477246e-5,0.0030191815686105
06025,"Imperial County, California",5824,168052,"Imperial County, California",4489,180701,109303,2622,-1335,1867,-0.2292239010989011,0.7120518688024409,0.03465593982814843,0.024842142544866934,0.023988362624996568,-0.009813797283281495,8.537799198703663e-4
06027,"Inyo County, California",178,18434,"Inyo County, California",153,17977,18281,79,-25,74,-0.1404494382022472,0.9367088607594937,0.009656070304871433,0.00851087500695333,0.004321426617799901,-0.0011451952979181033,0.004189448389153428
06029,"Kern County, California",45273,815693,"Kern County, California",48550,887641,543477,30131,3277,18419,0.07238309809378658,0.6112973349706282,0.05550249910199058,0.05469553569517406,0.05544116862351121,-8.069634068165188e-4,-7.456329283371463e-4
06031,"Kings County, California",11483,151122,"Kings County, California",9642,150691,101469,8243,-1841,1399,-0.16032395715405381,0.1697197622224918,0.07598496578922989,0.06398524132164496,0.08123663384876169,-0.011999724467584932,-0.01725139252711673
06033,"Lake County, California",1378,64371,"Lake County, California",1447,64195,50631,933,69,514,0.050072568940493466,0.5509110396570204,0.021407155396063443,0.022540696315912455,0.01842744563607276,0.0011335409198490118,0.004113250679839694
06035,"Lassen County, California",2989,35081,"Lassen County, California",2686,30818,27598,1719,-303,967,-0.1013716962194714,0.5625363583478766,0.08520281633932898,0.08715685638263353,0.06228712225523589,0.0019540400433045446,0.02486973412739764
06037,"Los Angeles County, California",852780,9758256,"Los Angeles County, California",820478,10081570,8863164,992974,-32302,-172496,-0.03787846806913858,-0.1737165323563356,0.08739061570018249,0.08138395111078929,0.1120338064375205,-0.006006664589393196,-0.030649855326731215
06039,"Madera County, California",5654,147738,"Madera County, California",4949,155433,88090,2494,-705,2455,-0.1246904846126636,0.9843624699278268,0.03827045174565785,0.031840085438742095,0.028311953683732547,-0.0064303663069157566,0.0035281317550095483
06041,"Marin County, California",7470,248601,"Marin County, California",5767,259943,230096,8172,-1703,-2405,-0.22797858099062918,-0.294297601566324,0.030048149444290247,0.022185633004158604,0.03551561087546068,-0.007862516440131643,-0.013329977871302075
06043,"Mariposa County, California",99,18290,"Mariposa County, California",253,17420,14302,122,154,131,1.5555555555555556,1.0737704918032787,0.005412793876435211,0.01452353616532721,0.008530275485946022,0.009110742288891999,0.005993260679381189
06045,"Mendocino County, California",862,87487,"Mendocino County, California",628,87224,80345,507,-234,121,-0.271461716937355,0.23865877712031558,0.009852892429732417,0.007199853251398698,0.006310286887796378,-0.0026530391783337187,8.895663636023197e-4
